UNITID,Level of Student,Grand Total,Grand Total Men,Grand Total Women
111391,4,848,367,481
111434,1,10123,3838,6285
111434,2,10123,3838,6285
111461,1,35018,19986,15032
111461,2,35018,19986,15032
111513,1,281,1,280
111513,2,281,1,280
111638,1,339,131,208
111638,2,339,131,208
111708,1,297,229,68
111708,2,297,229,68
111717,1,413,248,165
111717,2,413,248,165
111726,1,397,294,103
111726,2,397,294,103
111744,1,268,250,18
111744,2,268,250,18
111762,1,167,68,99
111762,2,167,68,99
111799,1,268,50,218
111799,2,268,50,218
111887,1,28922,13768,15154
111887,2,28922,13768,15154
111896,1,9825,4229,5596
111896,2,9825,4229,5596
111920,1,20005,9307,10698
111920,2,20005,9307,10698
111939,1,30177,12289,17888
111939,2,30177,12289,17888
111948,1,10286,4048,6238
111948,2,7626,3021,4605
111948,4,2660,1027,1633
111966,1,934,246,688
111966,2,243,75,168
111966,4,691,171,520
112075,1,5795,2366,3429
112075,2,2014,747,1267
112075,4,3781,1619,2162
112084,1,771,343,428
112084,2,581,291,290
112084,4,190,52,138
112127,1,103,41,62
112127,4,103,41,62
112172,1,18672,8361,10311
112172,2,18672,8361,10311
112181,1,139,3,136
112181,2,139,3,136
112190,1,39537,18304,21233
112190,2,39537,18304,21233
112251,1,2075,895,1180
112251,4,2075,895,1180
112260,1,1358,714,644
112260,2,1355,711,644
112260,4,3,3,0
112288,1,531,52,479
112288,2,531,52,479
112367,1,882,110,772
112367,2,882,110,772
112385,1,19804,11163,8641
112385,2,19804,11163,8641
112394,1,697,484,213
112394,2,687,478,209
112394,4,10,6,4
112455,1,128,26,102
112455,2,128,26,102
112525,1,3841,1511,2330
112525,4,3841,1511,2330
112561,1,3602,1643,1959
112561,2,3602,1643,1959
112570,1,572,314,258
112570,2,572,314,258
112686,1,11459,4027,7432
112686,2,11459,4027,7432
112826,1,11181,4357,6824
112826,2,11181,4357,6824
113096,1,21015,8959,12056
113096,2,21015,8959,12056
113111,1,9306,4118,5188
113111,2,9306,4118,5188
113193,1,15640,7564,8076
113193,2,15640,7564,8076
113218,1,13454,5887,7567
113218,2,13454,5887,7567
113236,1,21695,9325,12370
113236,2,21695,9325,12370
113333,1,29192,14507,14685
113333,2,29192,14507,14685
113449,1,248,60,188
113449,2,248,60,188
113537,1,31,11,20
113537,2,11,2,9
113537,4,20,9,11
113573,1,14374,6279,8095
113573,2,14374,6279,8095
113582,1,171,14,157
113582,2,171,14,157
113634,1,30072,14166,15906
113634,2,30072,14166,15906
113698,1,1962,534,1428
113698,2,1482,420,1062
113698,4,480,114,366
113704,1,75,68,7
113704,4,75,68,7
113856,1,56468,27914,28554
113856,2,56468,27914,28554
113980,1,34373,16280,18093
113980,2,34373,16280,18093
114044,1,387,23,364
114044,2,387,23,364
114114,1,310,71,239
114114,4,310,71,239
114123,1,545,116,429
114123,2,450,75,375
114123,4,95,41,54
114266,1,14811,6636,8175
114266,2,14811,6636,8175
114354,1,3082,461,2621
114354,2,3049,455,2594
114354,4,33,6,27
114390,1,272,48,224
114390,2,272,48,224
114433,1,3618,1772,1846
114433,2,3618,1772,1846
114460,1,535,99,436
114460,2,535,99,436
114549,1,1318,314,1004
114549,4,1318,314,1004
114585,1,431,103,328
114585,4,431,103,328
114637,1,149,11,138
114637,2,149,11,138
114716,1,29698,14574,15124
114716,2,29698,14574,15124
114734,1,57,26,31
114734,4,57,26,31
114761,1,86,8,78
114761,2,86,8,78
114789,1,37849,17518,20331
114789,2,37849,17518,20331
114813,1,5490,1459,4031
114813,2,3883,1008,2875
114813,4,1607,451,1156
114840,1,3570,2058,1512
114840,4,3570,2058,1512
114859,1,31457,14728,16729
114859,2,31457,14728,16729
114938,1,8581,4391,4190
114938,2,8581,4391,4190
114947,1,354,178,176
114947,2,354,178,176
115001,1,19230,8737,10493
115001,2,19230,8737,10493
115010,1,968,233,735
115010,2,968,233,735
115083,1,3381,1764,1617
115083,2,652,441,211
115083,4,2729,1323,1406
115126,1,17732,7865,9867
115126,2,17732,7865,9867
115214,1,210,123,87
115214,4,210,123,87
115296,1,25028,10379,14649
115296,2,25028,10379,14649
115357,1,165,47,118
115357,2,165,47,118
115393,1,18538,9873,8665
115393,2,18538,9873,8665
