,UNITID,Grand Total,Grand Total Men ,Grand Total Women 
595,130606,520,213,307
596,130624,241,161,80
597,130697,841,356,485
598,130776,1145,459,686
599,130794,4456,2181,2275
600,130837,21,1,20
601,130873,284,18,266
602,130907,1815,652,1163
603,130934,761,257,504
604,130943,5937,2492,3445
605,130989,548,249,299
606,131061,64,6,58
607,131098,249,97,152
608,131113,3931,1355,2576
609,131159,4129,1518,2611
610,131283,1663,725,938
611,131399,716,317,399
612,131405,33,28,5
613,131450,366,131,235
614,131469,9765,3933,5832
615,131496,6802,3137,3665
616,131520,2111,699,1412
617,131803,233,93,140
618,131830,24,12,12
619,131876,449,30,419
620,131973,151,78,73
621,132374,648,350,298
622,132408,79,40,39
623,132471,1944,617,1327
624,132602,528,188,340
625,132657,853,397,456
626,132675,91,42,49
627,132693,4038,1642,2396
628,132709,9718,4003,5715
629,132842,208,38,170
630,132851,2030,766,1264
631,132879,33,18,15
632,132903,16952,7090,9862
633,132976,267,135,132
634,133021,594,248,346
635,133155,428,166,262
636,133386,3575,1363,2212
637,133465,287,52,235
638,133492,416,151,265
639,133508,2938,1057,1881
640,133526,111,47,64
641,133553,1339,1036,303
642,133650,2096,702,1394
643,133669,7754,3125,4629
644,133702,6843,2781,4062
645,133711,760,257,503
646,133809,126,52,74
647,133845,349,39,310
648,133854,333,54,279
649,133863,321,29,292
650,133872,484,99,385
651,133881,1935,1210,725
652,133942,41,3,38
653,133951,14750,5759,8991
654,133960,285,144,141
655,133979,224,73,151
656,133997,270,98,172
657,134024,83,22,61
658,134079,773,227,546
659,134097,11294,4825,6469
660,134112,1576,521,1055
661,134130,15095,6537,8558
662,134228,16,8,8
663,134237,5740,3971,1769
664,134291,319,237,82
665,134307,167,158,9
666,134343,1094,414,680
667,134495,5349,2471,2878
668,134510,36,15,21
669,134529,199,23,176
670,134574,52,16,36
671,134608,4356,1629,2727
672,134714,65,11,54
673,134811,336,98,238
674,134945,1255,373,882
675,135081,5561,1624,3937
676,135142,239,4,235
677,135160,969,392,577
678,135179,623,294,329
679,135188,958,347,611
680,135267,711,479,232
681,135276,252,141,111
682,135294,334,131,203
683,135337,58,1,57
684,135364,233,185,48
685,135391,1823,641,1182
686,135407,693,358,335
687,135522,282,116,166
688,135559,39,6,33
689,135610,44,14,30
690,135647,199,147,52
691,135717,15315,6489,8826
692,135726,5037,2345,2692
693,135735,564,393,171
694,136109,103,6,97
695,136145,415,149,266
696,136172,4351,1717,2634
697,136215,6013,1739,4274
698,136233,1272,484,788
699,136303,269,44,225
700,136330,807,252,555
701,136358,7015,2730,4285
702,136400,2389,954,1435
703,136473,2236,807,1429
704,136491,403,179,224
705,136516,2506,902,1604
706,136659,104,70,34
707,136701,43,40,3
708,136765,321,122,199
709,136774,298,96,202
710,136826,220,118,102
711,136950,893,360,533
712,137023,348,173,175
713,137032,4040,1670,2370
714,137078,5951,2386,3565
715,137087,604,293,311
716,137096,3565,1663,1902
717,137120,498,279,219
718,137209,5455,2473,2982
719,137245,1001,428,573
720,137272,17,17,0
721,137281,1130,392,738
722,137315,810,327,483
723,137351,12632,5260,7372
724,137476,658,277,381
725,137546,1137,466,671
726,137564,1428,545,883
727,137591,249,40,209
728,137713,66,11,55
729,137759,3072,1446,1626
730,137777,5,5,0
731,137801,175,112,63
732,137847,2160,911,1249
733,137856,151,76,75
734,137865,167,74,93
735,137953,70,37,33
736,137962,27,16,11
737,138187,11782,5230,6552
738,138275,323,153,170
739,138284,261,115,146
740,138293,151,86,65
741,138309,3951,591,3360
742,138354,4134,1497,2637
743,138372,290,89,201
744,138479,672,387,285
745,138488,213,62,151
746,138497,277,168,109
747,138558,736,300,436
748,138600,208,0,208
749,138655,183,131,52
750,138664,15,4,11
751,138682,1339,572,767
752,138716,1121,270,851
753,138761,80,28,52
754,138813,357,174,183
755,138822,275,15,260
756,138840,1814,709,1105
757,138868,219,101,118
758,138901,281,90,191
759,138929,122,44,78
760,138938,202,50,152
761,138947,691,196,495
762,138956,1500,787,713
763,139144,545,196,349
764,139153,54,21,33
765,139199,722,92,630
766,139205,58,19,39
767,139214,16,2,14
768,139250,564,161,403
769,139278,2135,1003,1132
770,139311,1181,326,855
771,139348,64,31,33
772,139357,933,416,517
773,139366,1757,708,1049
774,139384,1806,791,1015
775,139393,234,109,125
776,139463,811,278,533
777,139506,70,23,47
778,139579,444,108,336
779,139621,315,105,210
780,139630,147,71,76
781,139658,4370,1698,2672
782,139700,812,255,557
783,139719,438,148,290
784,139746,45,9,36
785,139755,7481,5170,2311
786,139764,725,160,565
787,139861,1734,591,1143
788,139931,5616,2231,3385
789,139940,7556,2882,4674
790,139959,9839,4105,5734
791,139968,548,154,394
792,139986,2414,802,1612
793,139995,45,16,29
794,140003,93,9,84
795,140012,2133,1031,1102
796,140146,70,41,29
797,140234,222,89,133
798,140243,1414,676,738
799,140252,591,273,318
800,140331,3962,1857,2105
801,140340,225,61,164
802,140447,2508,919,1589
803,140553,392,392,0
804,140562,119,48,71
805,140678,738,363,375
806,140696,217,82,135
807,140720,29,12,17
808,140818,958,199,759
809,140827,17,6,11
810,140872,330,165,165
811,140942,1882,885,997
812,140951,3120,999,2121
813,140960,716,252,464
814,140988,408,131,277
815,141006,1250,699,551
816,141015,83,32,51
817,141060,465,0,465
818,141167,456,121,335
819,141185,182,70,112
820,141237,123,50,73
821,141255,1751,718,1033
822,141264,2400,720,1680
823,141325,194,3,191
824,141334,2675,753,1922
825,141361,194,86,108
826,141486,590,189,401
827,141565,741,233,508
828,141574,4233,1744,2489
829,141608,52,36,16
830,141644,862,345,517
831,141680,730,519,211
832,141796,1063,417,646
833,141802,206,69,137
834,141811,975,437,538
835,141839,529,186,343
836,141981,605,211,394
837,141990,303,87,216
838,142054,266,31,235
839,142090,37,20,17
840,142115,4455,1792,2663
841,142179,245,100,145
842,142276,2396,1075,1321
843,142285,2336,1194,1142
844,142294,186,79,107
845,142328,874,282,592
846,142407,47,2,45
847,142416,11,1,10
848,142443,872,359,513
849,142461,575,206,369
850,142489,17,1,16
851,142522,6961,2808,4153
852,142559,1010,349,661
853,142832,464,89,375
854,142887,52,24,28
855,142957,3,3,0
856,143048,952,260,692
857,143084,583,232,351
858,143118,1955,501,1454
859,143181,51,1,50
860,143215,2006,987,1019
861,143233,16,11,5
862,143279,663,230,433
863,143288,113,49,64
864,143297,98,10,88
865,143303,10,0,10
866,143358,1235,561,674
867,143376,116,7,109
868,143464,24,0,24
869,143473,25,1,24
870,143482,14,0,14
871,143491,33,0,33
872,143543,39,1,38
873,143552,32,1,31
874,143613,445,162,283
875,143659,66,44,22
876,143695,2,0,2
877,143853,910,349,561
878,143978,362,60,302
879,144005,604,222,382
880,144014,41,15,26
881,144050,5254,2914,2340
882,144157,658,281,377
883,144166,1599,375,1224
884,144175,699,425,274
885,144184,631,250,381
886,144193,1132,795,337
887,144209,1279,481,798
888,144218,1141,519,622
889,144281,1677,677,1000
890,144351,1851,575,1276
891,144485,296,215,81
892,144564,509,178,331
893,144573,19,2,17
894,144740,6423,2979,3444
895,144795,95,13,82
896,144865,3750,1617,2133
897,144883,86,40,46
898,144892,1862,722,1140
899,144944,1954,1062,892
900,144962,1036,360,676
901,144971,131,61,70
902,145099,164,5,159
903,145239,264,34,230
904,145275,61,27,34
905,145309,18,10,8
906,145336,1331,432,899
907,145354,11,0,11
908,145372,328,143,185
909,145406,235,2,233
910,145424,21,0,21
911,145433,30,0,30
912,145497,35,9,26
913,145521,477,158,319
914,145558,638,265,373
915,145600,7839,3573,4266
916,145619,1738,621,1117
917,145628,164,37,127
918,145637,12979,6808,6171
919,145646,389,175,214
920,145682,1392,611,781
921,145691,200,90,110
922,145707,377,116,261
923,145725,2248,1409,839
924,145813,5252,2154,3098
925,145831,702,262,440
926,145886,8,1,7
927,146205,851,250,601
928,146241,258,115,143
929,146278,441,181,260
930,146296,1893,738,1155
931,146339,353,131,222
932,146348,425,156,269
933,146366,714,211,503
934,146418,699,260,439
935,146427,317,133,184
936,146454,19,1,18
937,146472,2554,1133,1421
938,146481,366,161,205
939,146490,107,60,47
940,146506,2836,2221,615
941,146533,93,17,76
942,146603,1010,439,571
943,146612,1756,751,1005
944,146667,174,91,83
945,146676,138,51,87
946,146685,1306,574,732
947,146700,358,206,152
948,146719,4489,1520,2969
949,146728,46,27,19
950,146755,87,13,74
951,146807,19,3,16
952,146816,60,18,42
953,146825,108,45,63
954,146977,49,33,16
955,147004,1243,522,721
956,147013,667,271,396
957,147031,26,4,22
958,147129,176,23,153
959,147244,458,177,281
960,147341,196,90,106
961,147369,789,441,348
962,147378,2050,916,1134
963,147396,58,53,5
964,147411,622,216,406
965,147439,22,0,22
966,147536,1800,404,1396
967,147590,199,78,121
968,147642,19,0,19
969,147660,793,350,443
970,147679,730,243,487
971,147697,26,14,12
972,147703,4918,2454,2464
973,147767,7561,3866,3695
974,147776,1929,765,1164
975,147800,1256,573,683
976,147819,25,0,25
977,147828,1763,492,1271
978,147916,1234,485,749
979,148007,804,275,529
980,148016,97,55,42
981,148098,22,0,22
982,148131,243,86,157
983,148256,687,295,392
984,148292,667,256,411
985,148335,794,434,360
986,148380,1360,593,767
987,148405,324,122,202
988,148487,1344,444,900
989,148496,809,208,601
990,148511,859,220,639
991,148575,233,29,204
992,148584,1021,231,790
993,148593,53,8,45
994,148627,963,309,654
995,148654,1303,655,648
996,148672,546,229,317
997,148821,360,114,246
998,148876,168,39,129
999,148885,67,63,4
1000,148937,201,88,113
1001,148955,5,1,4
1002,148982,21,8,13
1003,148991,366,153,213
1004,149028,113,14,99
1005,149204,21,0,21
